who,doesWhat,toWhom,whereAdverb,where,whileDoingWhat,whileToWhom
arm,moved,itself,to,locker_2,,
arm,opened,door_2,,,,
arm,moved,itself,to,locker_12,,
arm,opened,door_12,,,,
arm,moved,itself,to,locker_2,,
arm,moved,itself,in front of,sphere_1,,
arm,moved,itself,into,locker_2,,
arm,grabbed,sphere_1,,,,
arm,moved,itself,out of,locker_2,holding,sphere_1
arm,moved,itself,in front of,locker_12,holding,sphere_1
arm,positioned,sphere_1,into,locker_12,,
arm,moved,itself,out of,locker_12,,
arm,closed,door_12,,,,
arm,moved,itself,to,locker_2,,
arm,closed,door_2,,,,
arm,moved,itself,to,original position,,
